year,defense,science
1942,25658,4
1943,66699,1
1944,79143,48
1945,82965,111
1946,42681,34
1947,12808,5
1948,9105,1
1949,13150,48
1950,13724,55
1951,23566,51
1952,46089,49
1953,52802,49
1954,49266,46
1955,42729,74
1956,42523,79
1957,45430,122
1958,46815,141
1959,49015,294
1960,48130,599
1961,49601,1042
1962,52345,1723
1963,53400,3051
1964,54757,4897
1965,50620,5823
1966,58111,6717
1967,71417,6233
1968,81926,5524
1969,82497,5020
1970,81692,4511
1971,78872,4182
1972,79174,4175
1973,76681,4032
1974,79347,3980
1975,86509,3991
1976,89619,4373
1976.2,22269,1162
1977,97241,4736
1978,104495,4926
1979,116342,5234
1980,133995,5831
1981,157513,6468
1982,185309,7199
1983,209903,7934
1984,227411,8311
1985,252743,8622
1986,273373,8962
1987,281996,9200
1988,290360,10820
1989,303555,12821
1990,299321,14426
1991,273285,16092
1992,298346,16389
1993,291084,17006
1994,281640,16189
1995,272063,16692
1996,265748,16684
1997,270502,17136
1998,268194,18172
1999,274769,18084
2000,294363,18594
2001,304732,19753
2002,348456,20734
2003,404733,20831
2004,455813,23029
2005,495294,23597
2006,521820,23584
2007,551258,24407
2008,616066,26773
2009,661012,28417
2010,693485,30100
2011,705554,29466
2012,677852,29060
2013,633446,28908
2014,603457,28570
2015,589659,29412
2016,593372,30174
2017,598722,30394
2018,631161,31534
2019,684568,33816
2020,737886,34587
2021,762379,34332
2022,770030,34338
2023,777528,33686
2024,784944,33831
